,Movie Name,Year_of_Release,Runtime,Rating,Meta Score,Vote
216,,1957,96,9.0,96        ,"1,852,598"
217,,2003,201,8.9,94        ,"700,680"
218,,1994,154,8.9,94        ,"1,513,229"
219,,1993,195,8.9,94        ,"1,711,520"
220,,2010,148,8.8,74        ,"1,043,165"
221,,1999,139,8.8,66        ,"1,179,423"
222,,2001,178,8.8,92        ,"933,717"
223,,1994,142,8.8,82        ,"609,936"
224,,1966,161,8.8,90        ,"1,560,048"
225,,2002,179,8.7,87        ,"709,564"
226,,1999,136,8.7,73        ,"671,211"
227,,1990,146,8.7,90        ,"1,263,144"
228,,1980,124,8.7,82        ,"1,174,186"
229,,1975,133,8.7,84        ,"637,078"
230,,2019,132,8.6,96        ,"1,477,922"
231,,2014,169,8.6,74        ,"1,299,218"
232,,2002,130,8.6,79        ,"1,251,509"
233,,2001,125,8.6,96        ,"45,082"
234,,1998,169,8.6,91        ,"321,453"
235,,1999,189,8.6,61        ,"412,611"
236,,1997,116,8.6,59        ,"64,661"
237,,1995,127,8.6,65        ,"29,861"
238,,1991,118,8.6,85        ,"739,334"
239,,1977,121,8.6,90        ,"778,836"
240,,1962,133,8.6,85        ,"1,216,358"
241,,1954,207,8.6,98        ,"1,213,608"
242,,1946,130,8.6,89        ,"749,214"
243,,2020,160,8.5,90        ,"1,366,953"
244,,2018,170,8.5,^^^^^,"1,049,717"
245,,2014,106,8.5,88        ,"1,007,995"
246,,2011,112,8.5,57        ,"1,056,737"
247,,2006,130,8.5,66        ,"961,836"
248,,2006,151,8.5,85        ,"1,011,276"
249,,2002,150,8.5,85        ,"236,616"
250,,2000,155,8.5,67        ,"243,202"
251,,1998,119,8.5,62        ,"1,082,486"
252,,1995,106,8.5,77        ,"307,859"
253,,1994,110,8.5,64        ,"615,815"
254,,1994,88,8.5,88        ,"452,292"
255,,1991,137,8.5,75        ,"530,631"
256,,1988,155,8.5,80        ,"222,738"
257,,1988,89,8.5,94        ,"171,178"
258,,1985,116,8.5,87        ,"69,130"
259,,1968,165,8.5,80        ,"1,000,576"
260,,1960,109,8.5,97        ,"35,600"
261,,1954,112,8.5,100        ,"30,779"
262,,1942,102,8.5,100        ,"209,215"
263,,1936,87,8.5,96        ,"163,610"
264,,1931,87,8.5,99        ,"400,673"
265,,2018,126,8.4,75        ,"876,753"
266,,2019,122,8.4,59        ,"878,957"
267,,2017,125,8.4,^^^^^,"406,391"
268,,2017,147,8.4,^^^^^,"1,389,829"
269,,2016,106,8.4,79        ,"1,545,898"
270,,2016,161,8.4,^^^^^,"355,461"
271,,2018,117,8.4,87        ,"174,723"
272,,2019,181,8.4,78        ,"1,019,697"
273,,2018,149,8.4,68        ,"365,483"
274,,I 2017,105,8.4,81        ,"527,192"
275,,2012,165,8.4,81        ,"1,145,395"
276,,2012,164,8.4,78        ,"352,758"
277,,2009,170,8.4,67        ,"318,345"
278,,2007,165,8.4,^^^^^,"897,711"
279,,2008,98,8.4,95        ,"917,856"
280,,2006,137,8.4,89        ,"617,452"
281,,2003,101,8.4,77        ,"803,354"
282,,2000,113,8.4,80        ,"36,586"
283,,1997,134,8.4,76        ,"457,460"
284,,1984,229,8.4,^^^^^,"111,940"
285,,1981,115,8.4,85        ,"182,067"
286,,1980,146,8.4,66        ,"205,381"
287,,1979,147,8.4,94        ,"206,931"
288,,1979,117,8.4,89        ,"37,481"
289,,1963,143,8.4,^^^^^,"461,622"
290,,1964,95,8.4,97        ,"31,647"
291,,1957,116,8.4,^^^^^,"35,544"
292,,1957,88,8.4,90        ,"292,608"
293,,1950,110,8.4,^^^^^,"225,217"
294,,1940,125,8.4,^^^^^,"155,473"
295,,2019,143,8.3,^^^^^,"34,613"
296,,2019,119,8.3,78        ,"60,703"
297,,2018,104,8.3,^^^^^,"80,974"
298,,2013,160,8.3,^^^^^,"1,298,422"
299,,2012,115,8.3,77        ,"927,754"
300,,2011,123,8.3,95        ,"713,779"
301,,2010,131,8.3,80        ,"794,716"
302,,2020,130,8.3,^^^^^,"780,336"
303,,I 2020,97,8.3,88        ,"1,085,186"
304,,2005,112,8.3,^^^^^,"2,395,848"
305,,2009,153,8.3,69        ,"1,659,562"
306,,2004,108,8.3,89        ,"79,410"
307,,2001,122,8.3,69        ,"2,357,459"
308,,2000,104,8.3,55        ,"1,153,618"
309,,2000,102,8.3,68        ,"706,532"
310,,1999,122,8.3,84        ,"1,673,368"
311,,1994,142,9.3,80        ,"1,863,472"
312,,1994,142,9.3,80        ,"1,236,925"
313,,1972,175,9.2,100        ,"2,115,428"
314,,2020,153,9.1,^^^^^,"1,893,334"
315,,2008,152,9.0,84        ,"1,694,116"
316,,1974,202,9.0,90        ,"1,852,598"
317,,1957,96,9.0,96        ,"700,680"
318,,2003,201,8.9,94        ,"1,513,229"
319,,1994,154,8.9,94        ,"1,711,520"
320,,1993,195,8.9,94        ,"1,043,165"
321,,2010,148,8.8,74        ,"1,179,423"
322,,1999,139,8.8,66        ,"933,717"
323,,2001,178,8.8,92        ,"609,936"
324,,1994,142,8.8,82        ,"1,560,048"
325,,1966,161,8.8,90        ,"709,564"
326,,2002,179,8.7,87        ,"671,211"
327,,1999,136,8.7,73        ,"1,263,144"
328,,1990,146,8.7,90        ,"1,174,186"
329,,1980,124,8.7,82        ,"637,078"
330,,1975,133,8.7,84        ,"1,477,922"
331,,2019,132,8.6,96        ,"1,299,218"
332,,2014,169,8.6,74        ,"1,251,509"
333,,2002,130,8.6,79        ,"45,082"
334,,2001,125,8.6,96        ,"321,453"
335,,1998,169,8.6,91        ,"412,611"
336,,1999,189,8.6,61        ,"64,661"
337,,1997,116,8.6,59        ,"29,861"
